Mes,Ano,lat,lon,Codigo,regiao,uf,Umidade média mensal,Temperatura média mensal
1,2023,-25.50888888000007,-48.80861111000002,A873,S,PR,72.63352272727273,27.11136363636365
2,2023,-25.50888888000007,-48.80861111000011,A873,S,PR,74.57605177993527,27.397411003236254
3,2023,-25.508888880000068,-48.8086111100001,A873,S,PR,84.0,26.674777448071215
4,2023,-25.50888888000007,-48.80861110999985,A873,S,PR,84.1045918367347,22.186989795918375
5,2023,-25.508888880000075,-48.80861110999952,A873,S,PR,85.794,20.76660000000001
6,2023,-25.508888880000075,-48.80861110999952,A873,S,PR,83.178,19.5842
7,2023,-25.50888888000007,-48.808611110000015,A873,S,PR,84.40677966101696,18.46158192090396
8,2023,-25.508888880000075,-48.808611109999525,A873,S,PR,82.57630522088354,20.085742971887544
9,2023,-25.508888880000075,-48.80861110999961,A873,S,PR,83.6989247311828,21.79376344086021
10,2023,-25.50888888000006,-48.808611110000086,A873,S,PR,90.44262295081967,21.881967213114773
1,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,72.76747311827957,25.185349462365604
2,2023,-14.181944429999941,-41.6722222099998,A433,NE,BA,63.48065476190476,26.161160714285707
3,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,61.05510752688172,26.364112903225834
4,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,67.05,25.777638888888912
5,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,65.82661290322581,24.179435483870964
6,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,63.26111111111111,22.894166666666695
7,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,60.23252688172043,22.807123655913998
8,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,56.682432432432435,24.785135135135135
9,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,56.422222222222224,25.706250000000015
10,2023,-14.181944429999941,-41.672222209999795,A433,NE,BA,51.66352624495289,27.775370121130525
1,2023,-22.589722209999724,-43.28222221000028,A603,SE,RJ,85.47849462365592,25.242876344086042
2,2023,-22.58972220999977,-43.28222221000027,A603,SE,RJ,83.31547619047619,26.48616071428574
3,2023,-22.589722209999724,-43.28222221000028,A603,SE,RJ,84.17876344086021,25.686693548387108
4,2023,-22.58972220999974,-43.28222221000028,A603,SE,RJ,87.11666666666666,22.933194444444418
5,2023,-22.589722209999724,-43.28222221000028,A603,SE,RJ,86.48118279569893,20.987768817204294
6,2023,-22.58972220999974,-43.28222221000028,A603,SE,RJ,85.17222222222222,19.824166666666677
7,2023,-22.589722209999724,-43.28222221000028,A603,SE,RJ,84.22715053763442,19.70940860215053
8,2023,-22.589722209999724,-43.28222221000028,A603,SE,RJ,83.29435483870968,21.468413978494635
9,2023,-22.58972220999974,-43.28222221000028,A603,SE,RJ,79.46805555555555,23.909861111111145
10,2023,-22.589722209999724,-43.28222221000028,A603,SE,RJ,87.93270524899057,23.959219380888296
1,2023,-28.603440000000045,-53.67359700000069,A853,S,RS,64.2967032967033,24.727060439560418
2,2023,-28.60344000000028,-53.67359700000065,A853,S,RS,66.19063545150502,22.891471571906344
3,2023,-28.603440000000045,-53.67359700000069,A853,S,RS,75.9065934065934,23.391208791208804
4,2023,-28.603440000000056,-53.67359700000069,A853,S,RS,72.50208623087622,18.643115438108484
5,2023,-28.60344000000016,-53.67359700000067,A853,S,RS,76.82370820668693,16.382370820668683
6,2023,-28.603440000000056,-53.67359700000069,A853,S,RS,80.10555555555555,14.731388888888889
7,2023,-28.60344000000002,-53.6735970000007,A853,S,RS,83.48655913978494,14.28225806451613
8,2023,-28.60344000000002,-53.6735970000007,A853,S,RS,73.24193548387096,15.993010752688186
9,2023,-28.603440000000063,-53.67359700000069,A853,S,RS,82.66480446927375,18.037709497206695
10,2023,-28.603440000000038,-53.67359700000069,A853,S,RS,81.04103967168263,18.02270861833104
1,2023,-12.524166660000189,-40.299722209999466,A408,NE,BA,77.97230320699708,26.604373177842557
2,2023,-12.524166660000217,-40.29972220999952,A408,NE,BA,72.57561728395062,27.511265432098746
3,2023,-12.524166660000208,-40.299722209999494,A408,NE,BA,75.15892053973013,27.07991004497752
4,2023,-12.524166660000203,-40.29972220999949,A408,NE,BA,76.06696428571429,27.044642857142847
5,2023,-12.524166660000212,-40.29972220999956,A408,NE,BA,78.49365079365079,25.676190476190477
6,2023,-12.52416666000021,-40.299722209999494,A408,NE,BA,76.83308270676692,24.0633082706767
7,2023,-12.524166660000201,-40.29972220999949,A408,NE,BA,76.77265973254086,23.588112927191652
8,2023,-12.52416666000018,-40.29972220999945,A408,NE,BA,79.36546762589929,24.1505035971223
9,2023,-12.524166660000192,-40.29972220999947,A408,NE,BA,77.39442815249267,25.315395894428125
10,2023,-12.524166660000143,-40.299722209999395,A408,NE,BA,70.41463414634147,27.191734417344144
1,2023,-15.751535999999879,-41.45778699999957,A549,SE,MG,80.71102150537635,22.422311827956985
2,2023,-15.751535999999893,-41.457786999999584,A549,SE,MG,74.6860119047619,22.665476190476173
3,2023,-15.751535999999879,-41.45778699999957,A549,SE,MG,73.90725806451613,22.38252688172046
4,2023,-15.751535999999884,-41.45778699999957,A549,SE,MG,80.04166666666667,21.87111111111111
5,2023,-15.751535999999879,-41.45778699999957,A549,SE,MG,80.56048387096774,19.722983870967756
6,2023,-15.751535999999884,-41.45778699999957,A549,SE,MG,78.72777777777777,17.815
7,2023,-15.751535999999879,-41.45778699999957,A549,SE,MG,76.6263440860215,17.869758064516127
8,2023,-15.751535999999879,-41.45778699999957,A549,SE,MG,74.21908602150538,19.526209677419374
9,2023,-15.751535999999884,-41.45778699999957,A549,SE,MG,68.8875,21.425833333333347
10,2023,-15.751535999999891,-41.457786999999584,A549,SE,MG,64.83505154639175,23.65066273932255
1,2023,-22.314444440000305,-45.37305553999992,A531,SE,MG,87.23790322580645,18.887365591397852
2,2023,-22.31444444000032,-45.37305553999982,A531,SE,MG,88.20684523809524,19.38035714285717
3,2023,-22.314444440000305,-45.37305553999992,A531,SE,MG,85.19354838709677,18.961962365591386
4,2023,-22.314444440000326,-45.37305553999981,A531,SE,MG,86.55833333333334,16.688888888888897
5,2023,-22.314444440000305,-45.37305553999992,A531,SE,MG,85.24327956989248,13.39112903225807
6,2023,-22.314444440000326,-45.37305553999981,A531,SE,MG,86.50416666666666,11.8886111111111
7,2023,-22.314444440000305,-45.37305553999992,A531,SE,MG,82.71639784946237,12.950134408602137
8,2023,-22.314444440000305,-45.37305553999992,A531,SE,MG,80.04838709677419,15.109811827956985
9,2023,-22.314444440000326,-45.37305553999981,A531,SE,MG,75.92916666666666,18.60750000000001
10,2023,-22.314444440000305,-45.37305553999992,A531,SE,MG,85.0725806451613,19.929166666666664
1,2023,-15.93527777000006,-48.13749998999993,A046,CO,DF,77.09811827956989,21.62338709677419
2,2023,-15.935277769999995,-48.13749998999993,A046,CO,DF,71.61068702290076,22.74778625954198
3,2023,-15.93527777000006,-48.13749998999993,A046,CO,DF,75.07795698924731,21.5951612903226
4,2023,-15.935277770000043,-48.13749998999993,A046,CO,DF,76.33611111111111,21.515277777777786
5,2023,-15.93527777000006,-48.13749998999993,A046,CO,DF,63.63709677419355,20.42836021505376
6,2023,-15.935277770000043,-48.13749998999993,A046,CO,DF,59.15138888888889,20.00541666666664
7,2023,-15.93527777000006,-48.13749998999993,A046,CO,DF,49.96370967741935,20.593145161290312
8,2023,-15.93527777000006,-48.13749998999993,A046,CO,DF,46.916666666666664,22.593548387096764
