,country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,geocode,lat,lon
0,Brazil,Acre,Acrelândia,30,158571,122285,92076,989,4768,3276,2643,4675,13356,2524,1816,4119,2152,2866,1082,1106,1390,2110,2036,3127,2654,1700,2142,1620,3316,2924,1200013,-10.0737938924635,-67.05231658002059
1,Brazil,Acre,Brasiléia,30,437224,376074,355323,2372,4477,4410,2634,6129,12094,1413,1824,1672,1870,2834,2757,5342,4970,6049,4374,6991,9147,8758,8816,7362,8829,8452,1200104,-11.016411019085751,-68.74794342595838
2,Brazil,Acre,Bujari,30,346763,283041,269722,5713,3597,3337,1824,4819,11538,2213,1988,2998,1439,2679,2358,2069,1903,2489,2255,3382,3710,3825,3123,4522,5150,6192,1200138,-9.820019626709376,-67.95185927920149
3,Brazil,Acre,Capixaba,30,173770,126374,112820,1548,2619,5719,1062,2046,3640,1732,616,1032,703,1324,2512,1805,1656,1511,1458,3670,2570,2578,2308,2889,3427,2907,1200179,-10.569767708792751,-67.67350797194322
4,Brazil,Acre,Cruzeiro do Sul,30,791898,776282,769456,3284,1998,1923,2158,2513,5830,1219,2257,2644,2183,1350,883,3476,2561,3404,1526,4220,4702,3009,3310,3600,5655,5446,1200203,-7.630690005009811,-72.6725313174358
5,Brazil,Acre,Epitaciolândia,30,166105,123030,111509,1457,2075,2603,2304,2195,7187,1198,453,939,899,1464,1785,2166,2289,1768,1918,2385,3230,2381,1597,2133,2331,2670,1200252,-11.028239827956352,-68.74486806667493
6,Brazil,Acre,Feijó,30,2416322,2375641,2367919,7109,2699,2688,2207,1899,6219,2893,3856,3883,3170,2781,2319,7420,5229,5897,4827,7992,8847,11352,12253,12003,17286,23354,1200302,-8.160247530000001,-70.35398360821654
7,Brazil,Acre,Jordão,30,542054,538339,536779,1083,529,635,266,362,856,484,769,1091,723,231,308,1512,968,1138,592,1105,1428,1227,1396,1675,1795,1946,1200328,-9.193357859828481,-71.95087512483646
8,Brazil,Acre,Manoel Urbano,30,938948,927427,922193,1930,803,979,226,1314,2077,1306,631,965,424,1509,730,2228,2071,2691,3035,3905,2830,4422,4964,5364,6795,9589,1200344,-8.836317736891662,-69.2599445775075
9,Brazil,Acre,Marechal Thaumaturgo,30,770850,764439,761894,1705,986,964,457,1146,1499,1398,995,2331,1459,577,513,2906,1280,1614,1002,2064,1843,1857,2319,1965,2614,1844,1200351,-8.953591123153663,-72.79026590869829
10,Brazil,Acre,Mâncio Lima,30,460418,451639,448891,733,1111,1090,526,603,1781,645,576,671,895,524,1022,1233,845,1027,672,1164,1354,1140,1041,1550,1533,1503,1200336,-7.5932225938583615,-72.91650102613077
11,Brazil,Acre,Plácido de Castro,30,204635,126363,93957,1768,4848,8828,4476,5534,11549,2547,790,4218,1622,2364,1266,1607,1175,1745,1272,2878,2602,2110,1705,1537,2073,1934,1200385,-10.335133282742651,-67.1882600861516
12,Brazil,Acre,Porto Acre,30,298744,231428,205779,4248,6014,5725,2500,4684,13573,2474,2626,4095,1505,3212,3977,2822,1483,2677,2133,4624,3896,2253,2325,3287,4232,4350,1200807,-9.60085823118788,-67.54059008351943
13,Brazil,Acre,Porto Walter,30,629900,624596,622351,1612,1132,705,743,790,1340,859,940,1046,1158,517,310,3102,1285,1535,770,1760,1784,1286,1337,1633,1837,1930,1200393,-8.26666636282753,-72.74233396480328
14,Brazil,Acre,Rio Branco,30,922666,761523,720838,9628,9386,7187,2956,8618,26543,4565,3300,6963,3450,4550,5855,3928,3973,5954,4902,8880,8029,7652,7429,9601,11897,18836,1200401,-9.978298752724983,-67.8105287004235
15,Brazil,Acre,Rodrigues Alves,30,329696,319814,314662,1307,1921,1499,1407,1012,2775,639,1495,1530,1428,1013,646,1829,1334,1750,828,2234,2683,1971,1675,2256,2558,2684,1200427,-7.733602033723222,-72.64785491419967
16,Brazil,Acre,Santa Rosa do Purus,30,600298,595122,593309,1325,256,237,146,421,982,331,493,336,350,514,388,808,456,560,548,646,759,1048,783,777,819,1042,1200435,-9.443406537411851,-70.48649689376163
17,Brazil,Acre,Sena Madureira,30,2529289,2480860,2450514,6285,5702,5251,1772,9208,18995,4808,3799,5519,2986,7173,5966,7502,6492,8492,7507,10134,7843,9853,10880,11398,14128,16577,1200500,-9.065339505000003,-68.65568406169203
18,Brazil,Acre,Senador Guiomard,30,183951,104080,82070,1291,4102,3271,2532,3687,7924,1889,721,3376,2233,1603,881,628,548,854,905,1673,2166,1299,1253,1218,2734,2386,1200450,-10.148173586198851,-67.74317236000509
19,Brazil,Acre,Tarauacá,30,1556037,1517046,1507302,6157,4064,4443,3161,2747,6849,3390,3688,3825,3011,1756,1789,6181,4506,5451,3120,5843,6394,7018,7307,7419,10103,13785,1200609,-8.155668591765622,-70.75550106289369
20,Brazil,Acre,Xapuri,30,525727,469788,458413,4309,3545,2954,1366,1822,12537,1468,604,1697,1480,1130,2504,2172,2630,3887,3491,7144,6824,6962,5706,5565,8073,10150,1200708,-10.652071940335452,-68.5062948050463
21,Brazil,Alagoas,Anadia,30,18948,2259,2056,25,42,20,38,3,31,39,17,7,10,22,1,27,6,1,0,2,6,3,1,2,1,9,2700201,-9.68408378505047,-36.30081357144608
22,Brazil,Alagoas,Arapiraca,30,35162,1303,1193,91,69,16,41,20,19,31,25,14,24,28,19,22,3,2,1,4,9,5,4,1,2,20,2700300,-9.755907010704702,-36.65729650628719
23,Brazil,Alagoas,Barra de Santo Antônio,30,13781,7361,8311,122,62,41,76,3,55,32,32,6,7,9,14,74,37,19,1,3,2,33,9,24,9,10,2700508,-9.409278109364942,-35.50029809578163
24,Brazil,Alagoas,Barra de São Miguel,30,7217,2472,2493,64,31,28,17,3,36,25,12,21,4,6,1,77,9,10,0,28,28,1,1,1,2,10,2700607,-9.838998251749246,-35.90744987262893
25,Brazil,Alagoas,Batalha,30,32095,3760,5408,61,70,4,139,6,32,14,8,52,6,55,37,90,44,46,39,18,63,44,22,1,13,20,2700706,-9.674593027970372,-37.127091894483605
26,Brazil,Alagoas,Belo Monte,30,33550,8180,8876,17,27,9,186,13,58,48,71,192,10,139,21,54,33,96,24,31,21,19,23,6,3,20,2700904,-9.82698885476657,-37.2784386581653
27,Brazil,Alagoas,Belém,30,4816,837,586,17,34,8,7,5,5,14,1,6,7,7,6,2,1,1,0,4,17,1,12,26,4,11,2700805,-9.568648231336061,-36.49449798940577
28,Brazil,Alagoas,Boca da Mata,30,18638,3675,3286,47,51,18,30,2,13,32,16,8,34,30,4,33,6,4,0,0,6,1,0,0,2,2,2701001,-9.645144567272592,-36.211724900143075
29,Brazil,Alagoas,Branquinha,30,19070,7160,7124,188,99,95,117,0,65,83,25,33,44,47,3,70,17,11,3,9,5,11,8,38,16,19,2701100,-9.246583108303286,-36.0200335331731
30,Brazil,Alagoas,Cacimbinhas,30,27285,2721,944,57,335,4,112,59,69,55,53,212,65,136,8,132,13,52,9,8,16,13,4,2,1,2,2701209,-9.405162751058153,-36.996869626023646
31,Brazil,Alagoas,Cajueiro,30,12432,3651,3441,85,33,8,19,5,25,45,10,8,15,17,3,21,13,5,0,0,20,3,2,12,2,9,2701308,-9.38966057508941,-36.15637859140856
32,Brazil,Alagoas,Campestre,30,5448,862,819,8,5,3,5,0,4,16,3,4,5,14,0,16,1,0,0,0,1,2,1,0,0,0,2701357,-8.848375353152907,-35.56671772645439
33,Brazil,Alagoas,Campo Alegre,30,30702,4359,3819,70,40,36,139,22,17,85,38,32,57,80,6,49,7,6,0,1,19,4,1,3,1,8,2701407,-9.783416038984077,-36.35243475219701
34,Brazil,Alagoas,Campo Grande,30,16723,2028,571,13,104,77,39,17,129,55,62,121,39,164,14,14,8,13,1,4,4,2,8,1,0,1,2701506,-9.956922603320185,-36.79084005213471
35,Brazil,Alagoas,Canapi,30,57165,2147,2097,30,5,2,47,2,13,11,13,8,11,3,11,8,8,4,0,1,0,1,0,6,0,0,2701605,-9.11738029758643,-37.605647150635086
36,Brazil,Alagoas,Capela,30,20665,6154,5307,309,131,43,42,11,43,181,48,12,48,71,7,130,54,29,10,2,41,9,9,23,56,25,2701704,-9.412931555522096,-36.07500849239358
